epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,721.858,0.85725,0.70661,1.591,0.74853,1,0.77659,0.59303,0.82991,0.71134,1.6221,0.0011684,0.0011684,0.0011684
44,736.619,0.84838,0.64447,1.62052,0.74986,1,0.77477,0.60262,0.81654,0.7146,1.61145,0.0011486,0.0011486,0.0011486
45,751.441,0.85835,0.66663,1.62394,0.74642,0.99231,0.79284,0.61168,0.82077,0.72194,1.61369,0.0011288,0.0011288,0.0011288
46,766.2,0.83885,0.66457,1.57344,0.74729,1,0.79512,0.61872,0.82962,0.72872,1.64625,0.001109,0.001109,0.001109
47,780.804,0.81556,0.65056,1.52916,0.74729,1,0.79512,0.61872,0.82962,0.72872,1.64625,0.0010892,0.0010892,0.0010892
48,795.398,0.88349,0.69131,1.66392,0.74199,1,0.78284,0.59098,0.86531,0.72956,1.73632,0.0010694,0.0010694,0.0010694
49,809.995,0.84197,0.6583,1.56881,0.74643,1,0.79558,0.6011,0.84124,0.70085,1.65646,0.0010496,0.0010496,0.0010496
50,824.82,0.81021,0.63413,1.55775,0.7455,0.99231,0.8204,0.63024,0.83629,0.6896,1.59174,0.0010298,0.0010298,0.0010298
51,839.557,0.8406,0.64176,1.56506,0.7455,0.99231,0.8204,0.63024,0.83629,0.6896,1.59174,0.00101,0.00101,0.00101
52,854.033,0.83963,0.66312,1.58772,0.74464,0.99231,0.83063,0.65063,0.82669,0.68783,1.60888,0.0009902,0.0009902,0.0009902
53,868.56,0.78387,0.63395,1.55746,0.74916,0.99231,0.81481,0.62754,0.80854,0.69081,1.60252,0.0009704,0.0009704,0.0009704
54,883.189,0.78411,0.62576,1.57142,0.74993,0.99194,0.77804,0.59599,0.8476,0.69908,1.73003,0.0009506,0.0009506,0.0009506
55,897.931,0.82663,0.63259,1.54667,0.74993,0.99194,0.77804,0.59599,0.8476,0.69908,1.73003,0.0009308,0.0009308,0.0009308
56,912.505,0.8213,0.6394,1.57573,0.75078,1,0.77051,0.5866,0.8496,0.72023,1.70268,0.000911,0.000911,0.000911
57,927.122,0.79513,0.64577,1.49335,0.75136,0.99953,0.79781,0.61858,0.82984,0.71484,1.59898,0.0008912,0.0008912,0.0008912
58,941.629,0.82463,0.65695,1.54361,0.74698,0.99923,0.80185,0.6295,0.82689,0.69186,1.60455,0.0008714,0.0008714,0.0008714
59,956.292,0.79523,0.60716,1.49165,0.74698,0.99923,0.80185,0.6295,0.82689,0.69186,1.60455,0.0008516,0.0008516,0.0008516
60,970.762,0.78838,0.64306,1.54613,0.74938,0.99231,0.79646,0.6259,0.80958,0.68674,1.60477,0.0008318,0.0008318,0.0008318
61,985.256,0.8027,0.63258,1.52775,0.74942,0.99231,0.7897,0.61396,0.79829,0.68416,1.614,0.000812,0.000812,0.000812
62,999.768,0.79699,0.62472,1.54954,0.7497,0.99231,0.79282,0.61604,0.79305,0.67741,1.60026,0.0007922,0.0007922,0.0007922
63,1014.39,0.78078,0.61169,1.50107,0.7497,0.99231,0.79282,0.61604,0.79305,0.67741,1.60026,0.0007724,0.0007724,0.0007724
64,1028.9,0.78265,0.62922,1.47709,0.7506,0.99231,0.79848,0.6254,0.78609,0.6852,1.57452,0.0007526,0.0007526,0.0007526
65,1043.42,0.82464,0.65187,1.55188,0.75623,1,0.79581,0.62134,0.80485,0.70491,1.60176,0.0007328,0.0007328,0.0007328
66,1057.93,0.787,0.64629,1.52987,0.7456,0.99231,0.78689,0.60636,0.80725,0.70244,1.62029,0.000713,0.000713,0.000713
67,1072.39,0.76912,0.60666,1.46507,0.7456,0.99231,0.78689,0.60636,0.80725,0.70244,1.62029,0.0006932,0.0006932,0.0006932
68,1086.95,0.75337,0.58366,1.45399,0.7439,0.98462,0.77719,0.59939,0.81641,0.69158,1.64423,0.0006734,0.0006734,0.0006734
69,1101.42,0.77737,0.62923,1.5198,0.74675,1,0.78729,0.61642,0.79236,0.68673,1.62347,0.0006536,0.0006536,0.0006536
70,1115.81,0.74,0.61574,1.45162,0.75018,1,0.79771,0.63186,0.78392,0.68152,1.58883,0.0006338,0.0006338,0.0006338
71,1130.19,0.76949,0.61447,1.42503,0.75018,1,0.79771,0.63186,0.78392,0.68152,1.58883,0.000614,0.000614,0.000614
72,1144.69,0.77602,0.60132,1.50429,0.74534,1,0.80172,0.63647,0.78868,0.68387,1.58619,0.0005942,0.0005942,0.0005942
73,1159.17,0.78198,0.61072,1.51172,0.74273,1,0.80275,0.62799,0.79429,0.68595,1.58428,0.0005744,0.0005744,0.0005744
74,1173.81,0.75622,0.60259,1.44754,0.75131,0.99926,0.80675,0.62914,0.79619,0.69638,1.59634,0.0005546,0.0005546,0.0005546
75,1188.15,0.74082,0.57915,1.42587,0.75131,0.99926,0.80675,0.62914,0.79619,0.69638,1.59634,0.0005348,0.0005348,0.0005348
76,1202.6,0.73477,0.59558,1.456,0.75137,0.9996,0.79799,0.62254,0.78534,0.69998,1.62748,0.000515,0.000515,0.000515
77,1217.03,0.73951,0.58721,1.46106,0.74974,0.99096,0.78587,0.61299,0.78704,0.69124,1.64208,0.0004952,0.0004952,0.0004952
78,1231.79,0.75772,0.60193,1.42625,0.75157,0.99231,0.78314,0.61691,0.78411,0.68922,1.64833,0.0004754,0.0004754,0.0004754
79,1246.51,0.7692,0.608,1.40855,0.75157,0.99231,0.78314,0.61691,0.78411,0.68922,1.64833,0.0004556,0.0004556,0.0004556
80,1253.84,0.73398,0.5914,1.41194,0.75142,0.99231,0.78374,0.60908,0.79421,0.6981,1.65973,0.0004358,0.0004358,0.0004358
81,1268.4,0.75597,0.57222,1.44522,0.75108,1,0.78484,0.61096,0.79677,0.70322,1.65823,0.000416,0.000416,0.000416
82,1283.04,0.73701,0.58626,1.42898,0.75436,1,0.7894,0.61587,0.78824,0.69735,1.64088,0.0003962,0.0003962,0.0003962
83,1297.54,0.74803,0.58143,1.45586,0.75436,1,0.7894,0.61587,0.78824,0.69735,1.64088,0.0003764,0.0003764,0.0003764
84,1311.97,0.73196,0.57933,1.40769,0.75303,0.99231,0.79526,0.62161,0.79218,0.6905,1.63438,0.0003566,0.0003566,0.0003566
85,1326.33,0.73017,0.57084,1.40621,0.75298,0.99231,0.79649,0.62458,0.78693,0.68577,1.61339,0.0003368,0.0003368,0.0003368
86,1340.93,0.75864,0.59673,1.4086,0.7511,0.99815,0.79403,0.62098,0.78538,0.68575,1.62595,0.000317,0.000317,0.000317
87,1355.47,0.74248,0.58404,1.42469,0.7511,0.99815,0.79403,0.62098,0.78538,0.68575,1.62595,0.0002972,0.0002972,0.0002972
88,1369.82,0.7293,0.57346,1.43554,0.75103,0.99778,0.79722,0.62692,0.78362,0.68662,1.6508,0.0002774,0.0002774,0.0002774
89,1384.2,0.7374,0.58501,1.46484,0.74359,0.99231,0.7944,0.61928,0.78749,0.68995,1.66934,0.0002576,0.0002576,0.0002576
90,1398.6,0.72682,0.57891,1.3986,0.74546,1,0.79952,0.62788,0.78708,0.68791,1.66822,0.0002378,0.0002378,0.0002378
91,1414.14,0.66468,0.57418,1.43396,0.74546,1,0.79952,0.62788,0.78708,0.68791,1.66822,0.000218,0.000218,0.000218
92,1420.66,0.68156,0.60245,1.43159,0.74231,1,0.78851,0.62137,0.79225,0.69041,1.66482,0.0001982,0.0001982,0.0001982
93,1434.51,0.66614,0.57684,1.38548,0.7378,1,0.79204,0.61699,0.80791,0.69018,1.67547,0.0001784,0.0001784,0.0001784
94,1448.29,0.65805,0.55925,1.34293,0.73714,1,0.7939,0.61303,0.8131,0.68659,1.67024,0.0001586,0.0001586,0.0001586
95,1462.12,0.6877,0.59427,1.38354,0.73714,1,0.7939,0.61303,0.8131,0.68659,1.67024,0.0001388,0.0001388,0.0001388
96,1476,0.70167,0.60221,1.41393,0.74134,1,0.78917,0.60884,0.80457,0.68931,1.64954,0.000119,0.000119,0.000119
97,1489.87,0.65944,0.56189,1.37203,0.74556,1,0.78709,0.60812,0.79742,0.6949,1.64444,9.92e-05,9.92e-05,9.92e-05
98,1503.67,0.67627,0.57167,1.40241,0.7453,1,0.78499,0.60748,0.79495,0.69715,1.65052,7.94e-05,7.94e-05,7.94e-05
99,1517.53,0.66271,0.58248,1.37251,0.7453,1,0.78499,0.60748,0.79495,0.69715,1.65052,5.96e-05,5.96e-05,5.96e-05
100,1531.87,0.65744,0.55471,1.38354,0.74487,1,0.78771,0.60977,0.79316,0.69913,1.65895,3.98e-05,3.98e-05,3.98e-05
epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
