epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,260.337,0.74072,0.55899,1.61887,0.74754,0.98462,0.78652,0.61662,0.80539,0.69761,1.88642,0.0011684,0.0011684,0.0011684
44,265.276,0.7301,0.54071,1.55204,0.74784,0.98462,0.78088,0.62088,0.79879,0.69568,1.86489,0.0011486,0.0011486,0.0011486
45,270.56,0.7726,0.59322,1.66272,0.74608,1,0.78738,0.618,0.82173,0.69027,1.89262,0.0011288,0.0011288,0.0011288
46,276.005,0.75238,0.56957,1.66026,0.74618,1,0.79572,0.62516,0.80349,0.69054,1.93102,0.001109,0.001109,0.001109
47,280.938,0.71211,0.51957,1.57435,0.74618,1,0.79572,0.62516,0.80349,0.69054,1.93102,0.0010892,0.0010892,0.0010892
48,286.316,0.70493,0.56135,1.56915,0.74365,0.99231,0.78861,0.62897,0.78751,0.69341,1.93379,0.0010694,0.0010694,0.0010694
49,291.402,0.70245,0.55167,1.56265,0.74637,1,0.79171,0.6228,0.8089,0.68771,1.93716,0.0010496,0.0010496,0.0010496
50,296.664,0.71272,0.55906,1.55988,0.74277,0.99955,0.79524,0.62573,0.79312,0.67167,1.90201,0.0010298,0.0010298,0.0010298
51,302.304,0.71672,0.55316,1.5264,0.74277,0.99955,0.79524,0.62573,0.79312,0.67167,1.90201,0.00101,0.00101,0.00101
52,307.258,0.66904,0.51876,1.5408,0.74253,1,0.789,0.61462,0.80145,0.66765,2.05629,0.0009902,0.0009902,0.0009902
53,312.59,0.69825,0.54205,1.51548,0.74556,1,0.79425,0.62932,0.78069,0.66665,1.99038,0.0009704,0.0009704,0.0009704
54,318.009,0.69043,0.54203,1.61247,0.74186,1,0.79874,0.62736,0.78575,0.66709,1.89982,0.0009506,0.0009506,0.0009506
55,322.897,0.70517,0.54999,1.6025,0.74186,1,0.79874,0.62736,0.78575,0.66709,1.89982,0.0009308,0.0009308,0.0009308
56,328.773,0.68642,0.51741,1.46203,0.74636,1,0.79255,0.6113,0.80784,0.67893,1.953,0.000911,0.000911,0.000911
57,333.739,0.69299,0.53742,1.54403,0.74619,1,0.79502,0.61352,0.78489,0.69208,1.98314,0.0008912,0.0008912,0.0008912
58,338.914,0.67747,0.52448,1.54705,0.74576,1,0.79045,0.62322,0.76989,0.6906,1.93171,0.0008714,0.0008714,0.0008714
59,344.452,0.68118,0.52318,1.52537,0.74576,1,0.79045,0.62322,0.76989,0.6906,1.93171,0.0008516,0.0008516,0.0008516
60,349.452,0.68072,0.51935,1.45065,0.74251,0.99821,0.7751,0.61348,0.77551,0.70432,1.89142,0.0008318,0.0008318,0.0008318
61,354.87,0.68217,0.50808,1.44498,0.74205,1,0.77565,0.61167,0.78313,0.69847,1.92202,0.000812,0.000812,0.000812
62,360.175,0.67417,0.54848,1.50661,0.7461,1,0.78155,0.613,0.7688,0.68915,1.93841,0.0007922,0.0007922,0.0007922
63,365.087,0.65619,0.51119,1.46027,0.7461,1,0.78155,0.613,0.7688,0.68915,1.93841,0.0007724,0.0007724,0.0007724
64,370.582,0.6447,0.48668,1.44541,0.74608,1,0.78453,0.61941,0.77349,0.68782,1.96168,0.0007526,0.0007526,0.0007526
65,375.549,0.6552,0.4953,1.47,0.74621,1,0.78974,0.62548,0.7664,0.70113,1.9558,0.0007328,0.0007328,0.0007328
66,380.813,0.6316,0.47666,1.39423,0.7464,1,0.79556,0.63609,0.78355,0.7143,1.98965,0.000713,0.000713,0.000713
67,386.193,0.6488,0.50123,1.40777,0.7464,1,0.79556,0.63609,0.78355,0.7143,1.98965,0.0006932,0.0006932,0.0006932
68,391.152,0.61817,0.4783,1.39875,0.746,1,0.80293,0.63931,0.78475,0.70288,2.02611,0.0006734,0.0006734,0.0006734
69,396.58,0.63351,0.50628,1.43802,0.73972,0.99231,0.80956,0.64373,0.77792,0.68134,2.0397,0.0006536,0.0006536,0.0006536
70,402.37,0.63404,0.50743,1.41676,0.74495,0.99231,0.80781,0.64463,0.77534,0.66682,2.00023,0.0006338,0.0006338,0.0006338
71,407.715,0.63044,0.49699,1.4497,0.74495,0.99231,0.80781,0.64463,0.77534,0.66682,2.00023,0.000614,0.000614,0.000614
72,413.276,0.61462,0.46997,1.41613,0.74495,0.99231,0.81615,0.65686,0.76733,0.66033,1.96505,0.0005942,0.0005942,0.0005942
73,418.678,0.61172,0.46274,1.40289,0.74214,1,0.80932,0.65628,0.75196,0.67976,1.97156,0.0005744,0.0005744,0.0005744
74,424.147,0.61217,0.46833,1.39561,0.7428,1,0.80601,0.65485,0.76319,0.70419,2.0704,0.0005546,0.0005546,0.0005546
75,429.444,0.6151,0.47652,1.43145,0.7428,1,0.80601,0.65485,0.76319,0.70419,2.0704,0.0005348,0.0005348,0.0005348
76,434.584,0.61083,0.45547,1.42903,0.74193,1,0.80267,0.64461,0.7696,0.70726,2.05242,0.000515,0.000515,0.000515
77,439.924,0.61365,0.5032,1.45893,0.74672,0.99789,0.79269,0.63482,0.77729,0.69662,2.00884,0.0004952,0.0004952,0.0004952
78,444.909,0.61392,0.48311,1.43509,0.7464,1,0.79757,0.63045,0.76991,0.68008,1.96834,0.0004754,0.0004754,0.0004754
79,450.021,0.63153,0.47371,1.38379,0.7464,1,0.79757,0.63045,0.76991,0.68008,1.96834,0.0004556,0.0004556,0.0004556
80,455.598,0.61123,0.47473,1.39728,0.7463,1,0.79943,0.63493,0.75372,0.67545,1.97192,0.0004358,0.0004358,0.0004358
81,460.623,0.60631,0.47104,1.38127,0.74248,1,0.79945,0.6436,0.75014,0.67287,1.99787,0.000416,0.000416,0.000416
82,466.025,0.60248,0.46084,1.38423,0.74833,0.99231,0.79881,0.63676,0.75344,0.67907,2.01263,0.0003962,0.0003962,0.0003962
