epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.5446,1.99371,2.91138,2.54013,0.04,0.09231,0.03074,0.01273,1.94252,2.7138,2.58702,4e-05,4e-05,4e-05
2,109.207,2.0201,2.91713,2.63048,0.05,0.11538,0.04839,0.01863,1.65212,2.62747,2.40511,9.901e-05,9.901e-05,9.901e-05
3,166.86,1.54935,2.596,2.31936,0.36876,0.05385,0.07081,0.03449,1.21325,2.16918,2.25215,0.000156832,0.000156832,0.000156832
4,233.607,1.2596,2.2102,2.16106,0.27506,0.11538,0.07227,0.04394,1.28607,1.7408,2.54432,0.000213466,0.000213466,0.000213466
